target,length,iteration,apo_holo_rmsd,complex_plddt,iptm,helix_loss
5zmc,167,1,13.818723,0.5423792004585266,0.45952826738357544,-0.08037867323107584
5zmc,103,2,5.14119,0.6044133901596069,0.4380713403224945,-0.0521998107374996
5zmc,163,3,13.033179,0.5478082299232483,0.7124905586242676,-0.1668106983168078
5zmc,143,4,7.7988667,0.48316919803619385,0.2239561229944229,-0.17033043973743864
5zmc,157,5,0.8553246,0.8433676362037659,0.901463508605957,-0.13706846428546782
